playlistName,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,0.566,0.366,7,-12.808,0.028,0.113,0.181,0.155,0.237,129.959
1,0.54,0.381,7,-14.323,0.0347,0.0217,0.000687,0.305,0.343,155.882
1,0.384,0.765,6,-4.463,0.0579,0.646,0.00352,0.522,0.567,129.903
1,0.652,0.557,1,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073
1,0.469,0.08,2,-15.489,0.0425,0.897,4.22e-05,0.112,0.206,101.238
1,0.565,0.242,2,-8.367,0.0318,0.762,9.3e-06,0.285,0.237,81.657
1,0.533,0.84,9,-5.283,0.167,0.234,0.0,0.114,0.361,116.882
1,0.509,0.538,7,-7.335,0.0572,0.385,0.0,0.104,0.244,75.089
1,0.511,0.566,6,-7.23,0.2,0.349,0.0,0.34,0.218,83.903
1,0.785,0.431,10,-8.756,0.0364,0.123,0.0,0.0887,0.236,127.085
1,0.708,0.186,9,-8.953,0.042,0.868,0.0,0.0779,0.322,72.541
1,0.421,0.407,10,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028
1,0.56,0.674,10,-6.048,0.0446,0.698,0.0,0.123,0.421,119.942
1,0.378,0.388,10,-9.017,0.036,0.472,0.0,0.157,0.188,72.293
1,0.507,0.204,0,-11.575,0.0504,0.855,0.0,0.143,0.343,77.765
1,0.422,0.302,11,-9.214,0.0372,0.629,7.83e-05,0.104,0.123,114.089
1,0.445,0.537,4,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769
1,0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
1,0.464,0.701,6,-5.693,0.0411,0.00892,0.309,0.335,0.356,83.996
1,0.245,0.64,2,-7.426,0.0608,0.131,8.11e-06,0.0766,0.105,135.739
1,0.581,0.656,4,-4.891,0.0294,0.00269,2.78e-06,0.101,0.338,108.033
1,0.568,0.569,7,-6.013,0.0329,0.0004,0.102,0.342,0.266,72.991
1,0.353,0.686,7,-5.704,0.0534,0.00216,0.0,0.123,0.177,94.47
1,0.716,0.512,1,-6.257,0.0331,0.483,0.0,0.0928,0.326,104.957
1,0.357,0.425,5,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078
1,0.778,0.422,0,-10.114,0.0482,0.921,0.00924,0.0958,0.187,120.033
1,0.628,0.878,9,-3.468,0.0901,0.00196,1.23e-05,0.0649,0.796,129.976
1,0.443,0.298,0,-12.181,0.0644,0.388,1e-05,0.103,0.172,77.253
1,0.629,0.328,11,-8.284,0.029,0.768,2.5e-05,0.103,0.389,74.953
1,0.376,0.43,0,-6.585,0.0328,0.0902,0.0,0.0912,0.129,77.599
1,0.38,0.339,3,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607
1,0.537,0.413,7,-7.736,0.0319,0.346,0.0,0.12,0.226,133.21
1,0.545,0.968,9,-3.553,0.0853,0.0387,0.00325,0.331,0.527,169.965
1,0.681,0.292,11,-9.599,0.0483,0.743,0.0,0.0974,0.162,64.002
1,0.576,0.478,4,-8.276,0.0261,0.498,5.68e-05,0.124,0.266,132.028
1,0.395,0.443,6,-9.72,0.133,0.765,9.67e-06,0.0839,0.338,168.924
1,0.539,0.508,10,-6.05,0.0288,0.727,0.0,0.174,0.227,101.358
1,0.585,0.436,10,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874
1,0.508,0.43,2,-9.475,0.0335,0.83,0.000441,0.093,0.324,130.09
1,0.511,0.532,5,-5.745,0.056,0.169,0.0,0.311,0.322,137.827
1,0.387,0.135,7,-14.398,0.051,0.929,0.0,0.0948,0.21,82.987
1,0.421,0.131,0,-18.435,0.0382,0.952,0.00453,0.109,0.12,137.446
1,0.614,0.318,7,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959
1,0.546,0.846,5,-5.719,0.181,0.0135,0.0,0.607,0.74,162.043
1,0.571,0.544,6,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052
1,0.416,0.0725,2,-16.755,0.0582,0.801,1.45e-05,0.0754,0.0609,123.544
